ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-06-04,6441.923742687319,6362.719601539625,6363.54293367063,6441.923742687319,6441.923742687319,-78.82915906851899,-78.82915906851899,-78.82915906851899,-78.82915906851899,-78.82915906851899,-78.82915906851899,0.0,0.0,0.0,6363.094583618799
2020-06-05,6475.24160080414,6328.410452236088,6329.212136383472,6475.24160080414,6475.24160080414,-146.4360237187024,-146.4360237187024,-146.4360237187024,-146.4360237187024,-146.4360237187024,-146.4360237187024,0.0,0.0,0.0,6328.805577085438
2020-06-06,6508.559458920961,6494.583393150507,6495.453819269639,6508.559458920961,6508.559458920961,-13.563047526272856,-13.563047526272856,-13.563047526272856,-13.563047526272856,-13.563047526272856,-13.563047526272856,0.0,0.0,0.0,6494.996411394688
2020-06-07,6541.8773170377835,6458.728570937161,6608.229435857304,6471.009301208392,6620.091553897956,-11.957339367503984,-11.957339367503984,-11.957339367503984,-11.957339367503984,-11.957339367503984,-11.957339367503984,0.0,0.0,0.0,6529.91997767028
2020-06-08,6575.195175154606,6439.764682779654,6936.835589170717,6336.541079158011,6833.03198834713,103.57806290611106,103.57806290611106,103.57806290611106,103.57806290611106,103.57806290611106,103.57806290611106,0.0,0.0,0.0,6678.773238060717
2020-06-09,6608.513033271427,6292.508206711269,7245.300207989365,6151.835473789219,7104.843661975722,140.50336226523976,140.50336226523976,140.50336226523976,140.50336226523976,140.50336226523976,140.50336226523976,0.0,0.0,0.0,6749.016395536667
2020-06-10,6641.830891388249,5917.3275500890495,7413.316224159968,5911.3221401257415,7406.558773326369,6.704144509884253,6.704144509884253,6.704144509884253,6.704144509884253,6.704144509884253,6.704144509884253,0.0,0.0,0.0,6648.535035898133
2020-06-11,6675.1487495050715,5560.511548597365,7697.059575228339,5639.02256144477,7775.987215085473,-78.82915906867056,-78.82915906867056,-78.82915906867056,-78.82915906867056,-78.82915906867056,-78.82915906867056,0.0,0.0,0.0,6596.319590436401
2020-06-12,6708.466607621894,5192.5727751764525,8069.817626942182,5338.615910057111,8216.433190513839,-146.4360237186789,-146.4360237186789,-146.4360237186789,-146.4360237186789,-146.4360237186789,-146.4360237186789,0.0,0.0,0.0,6562.030583903214
2020-06-13,6741.784465738715,5010.622621995001,8666.134982675207,5024.297735785279,8679.435443293341,-13.563047526250221,-13.563047526250221,-13.563047526250221,-13.563047526250221,-13.563047526250221,-13.563047526250221,0.0,0.0,0.0,6728.221418212464
